content,score,thumbsUpCount,comentario_limpio,comentario_limpio_corregido,comentario_lemmatizado,tokens
no me gusta siempre es lo mismo uno intenta crear y me sale q ocurrió error y q lo intente unos minutos ya semanas q sigo intentando y nada pésimo,1,4,gusta siempre mismo intenta crear sale q ocurrió error q intente minutos semanas q sigo intentando pésimo,gusta siempre mismo intenta crear sale q ocurrio error q intente minutos semanas q sigo intentando pesimo,gustar siempre mismo intentar crear sale ocurrio error intentar minuto semana seguir intentar pesimo,"['gustar', 'siempre', 'mismo', 'intentar', 'crear', 'sale', 'ocurrio', 'error', 'intentar', 'minuto', 'semana', 'seguir', 'intentar', 'pesimo']"
Una observación me gustaría q haya una notificación cada vez q me depositen...En esta última actualización lo único q cambio es q me llega una notificación para hagan su trabajo q es de promover la app no sean caraduras y resuelvan las exigencias de los q ya estamos en su app,1,5,observación gustaría q notificación cada vez q depositenen última actualización único q cambio q llega notificación hagan trabajo q promover app caraduras resuelvan exigencias q app,observacion gustaria q notificacion cada vez q depositenen ultima actualizacion unico q cambio q llega notificacion hagan trabajo q promover app caraduras resuelvan exigencias q app,observacion gustario notificacion cada vez depositenir ultima actualizacion unico cambio llegar notificacion hacer trabajo promover app caradura resuelir exigencia app,"['observacion', 'gustario', 'notificacion', 'cada', 'vez', 'depositenir', 'ultima', 'actualizacion', 'unico', 'cambio', 'llegar', 'notificacion', 'hacer', 'trabajo', 'promover', 'app', 'caradura', 'resuelir', 'exigencia', 'app']"
xq no da mi aplicación si ya lo bajeee y nooooo daaa,5,0,xq da aplicación si bajeee nooooo daaa,xq da aplicacion si bajeee nooooo daaa,aplicacion bajeee nooooo daaa,"['aplicacion', 'bajeee', 'nooooo', 'daaa']"
muy mala cuando mas necesitas deja de funcionar,1,2,mala mas necesitas deja funcionar,mala mas necesitas deja funcionar,malo mas necesitas dejar funcionar,"['malo', 'mas', 'necesitas', 'dejar', 'funcionar']"
lento a la hora de hacer transferencia...,3,2,lento hora hacer transferencia,lento hora hacer transferencia,lento hora hacer transferencia,"['lento', 'hora', 'hacer', 'transferencia']"
"Falta que la aplicación envié notificaciones por las transacciones realizadas, sin entrar a la aplicación, agreguen rápidamente eso por favor",3,4,falta aplicación envié notificaciones transacciones realizadas entrar aplicación agreguen rápidamente favor,falta aplicacion envie notificaciones transacciones realizadas entrar aplicacion agreguen rapidamente favor,faltar aplicacion envie notificación transacción realizado entrar aplicacion agregar rapidamente favor,"['faltar', 'aplicacion', 'envie', 'notificación', 'transacción', 'realizado', 'entrar', 'aplicacion', 'agregar', 'rapidamente', 'favor']"
no actualiza,3,0,actualiza,actualiza,actualizar,['actualizar']
muy buena,5,0,buena,buena,buen,['buen']
es buena,5,0,buena,buena,buen,['buen']
me pide actualizar ya lo hice y igual no abre la aplicación muy mal muy mal,1,1,pide actualizar hice igual abre aplicación mal mal,pide actualizar hice igual abre aplicacion mal mal,pedir actualizar hacer igual abrir aplicacion mal mal,"['pedir', 'actualizar', 'hacer', 'igual', 'abrir', 'aplicacion', 'mal', 'mal']"
La mejor,5,0,mejor,mejor,mejor,['mejor']
porque sale que Ise una transferencia a devengado cuentas vista cuando no pase nada de dinero ;-;?,1,0,sale ise transferencia devengado cuentas vista pase dinero,sale ise transferencia devengado cuentas vista pase dinero,salir ise transferencia devengado cuenta vista pasar dinero,"['salir', 'ise', 'transferencia', 'devengado', 'cuenta', 'vista', 'pasar', 'dinero']"
muy buena,3,0,buena,buena,buen,['buen']
😡😡😡😡 no la puedo descarga,5,0,😡😡😡😡 puedo descarga,😡😡😡😡 puedo descarga,poder descarga,"['poder', 'descarga']"
bien,4,1,bien,bien,bien,['bien']
muy buena,5,0,buena,buena,buen,['buen']
porque no puedo usar mi altoke me error,1,0,puedo usar altoke error,puedo usar altoke error,poder usar altoke error,"['poder', 'usar', 'altoke', 'error']"
Bien,4,0,bien,bien,bien,['bien']
Me encanta,5,0,encanta,encanta,encantar,['encantar']
es buena,2,0,buena,buena,buen,['buen']
no puedo crear mi cuenta,5,0,puedo crear cuenta,puedo crear cuenta,poder crear cuenta,"['poder', 'crear', 'cuenta']"
Es una buena aguday rapido seguro,5,1,buena aguday rapido seguro,buena aguday rapido seguro,buen aguday rapido seguro,"['buen', 'aguday', 'rapido', 'seguro']"
mu buena,5,0,mu buena,mu buena,buen,['buen']
los evios son Aktoke,5,0,evios aktoke,evios aktoke,evio aktoke,"['evio', 'aktoke']"
exelente,5,0,exelente,excelente,excelente,['excelente']
bueno,5,0,bueno,bueno,bueno,['bueno']
"me pide actualizar,lo actualice y nada ,no entra a la aplicación",1,1,pide actualizarlo actualice entra aplicación,pide actualizarlo actualice entra aplicacion,pedir actualizar él actualizar entrar aplicacion,"['pedir', 'actualizar', 'él', 'actualizar', 'entrar', 'aplicacion']"
Bien,5,9,bien,bien,bien,['bien']
Más o menos,2,0,menos,menos,menos,['menos']
mejor que yape,5,0,mejor yape,mejor yape,mejor yape,"['mejor', 'yape']"
la aplicación es buena pero tienen que aumentar urgente las notificaciones de las transacciones las 24h porque al momento de que asen su mantenimiento no sabemos si nos llegó o no espero que arreglen esto lo más antes posible o sino tocara cambiar de banco porque enserio que perjudica demasiado. y los que crearon esta aplicación debieron pensar mínimo en eso o será que son malos creadores?....,2,1,aplicación buena aumentar urgente notificaciones transacciones h momento asen mantenimiento sabemos si llegó espero arreglen posible sino tocara cambiar banco enserio perjudica demasiado crearon aplicación debieron pensar mínimo malos creadores,aplicacion buena aumentar urgente notificaciones transacciones h momento asen mantenimiento sabemos si llego espero arreglen posible sino tocara cambiar banco enserio perjudica demasiado crearon aplicacion debieron pensar minimo malos creadores,aplicacion buen aumentar urgente notificación transacción momento ar mantenimiento saber llego esperar arreglir posible sino tocar cambiar banco enserio perjudicar demasiado crear aplicacion deber pensar minimo malo creador,"['aplicacion', 'buen', 'aumentar', 'urgente', 'notificación', 'transacción', 'momento', 'ar', 'mantenimiento', 'saber', 'llego', 'esperar', 'arreglir', 'posible', 'sino', 'tocar', 'cambiar', 'banco', 'enserio', 'perjudicar', 'demasiado', 'crear', 'aplicacion', 'deber', 'pensar', 'minimo', 'malo', 'creador']"
Excelente,5,0,excelente,excelente,excelente,['excelente']
lo recomende y ise todo los paso y no me bonificaron lo que decia la app,2,0,recomende ise paso bonificaron decia app,recomende ise paso bonificaron decia app,recomendir ise paso bonificar decia app,"['recomendir', 'ise', 'paso', 'bonificar', 'decia', 'app']"
no funciona,2,0,funciona,funciona,funcionar,['funcionar']
buena,5,0,buena,buena,buen,['buen']
no da opción a actualizar,1,0,da opción actualizar,da opcion actualizar,opcion actualizar,"['opcion', 'actualizar']"
pésima app,1,0,pésima app,pesima app,pesimo app,"['pesimo', 'app']"
buena opción,3,0,buena opción,buena opcion,buen opcion,"['buen', 'opcion']"
muy buena,5,0,buena,buena,buen,['buen']
no funciona sin internet otros funcionan,3,0,funciona internet funcionan,funciona internet funcionan,funcionar internet funcionar,"['funcionar', 'internet', 'funcionar']"
muy mala aplicación no quiere instalarse,1,0,mala aplicación quiere instalarse,mala aplicacion quiere instalarse,malo aplicacion querer instalar él,"['malo', 'aplicacion', 'querer', 'instalar', 'él']"
mucho tarda en entrar la aplicación,3,1,tarda entrar aplicación,tarda entrar aplicacion,tardar entrar aplicacion,"['tardar', 'entrar', 'aplicacion']"
Por que me pide actualización cuando no se puede y siempre me sale ocurrió un error intentó unos minutos y hago eso y sale lo mismo de siempre o esta mal la aplicación o el celular no da,1,3,pide actualización puede siempre sale ocurrió error intentó minutos hago sale mismo siempre mal aplicación celular da,pide actualizacion puede siempre sale ocurrio error intento minutos hago sale mismo siempre mal aplicacion celular da,pedir actualizacion poder siempre salir ocurrio error intento minuto hacer salir mismo siempre mal aplicacion celular,"['pedir', 'actualizacion', 'poder', 'siempre', 'salir', 'ocurrio', 'error', 'intento', 'minuto', 'hacer', 'salir', 'mismo', 'siempre', 'mal', 'aplicacion', 'celular']"
muy mal perdida de tiempo,1,0,mal perdida tiempo,mal perdida tiempo,mal perdido tiempo,"['mal', 'perdido', 'tiempo']"
no puedo ingresar,1,0,puedo ingresar,puedo ingresar,poder ingresar,"['poder', 'ingresar']"
excelente,5,0,excelente,excelente,excelente,['excelente']
súper bien,5,0,súper bien,super bien,super bien,"['super', 'bien']"
buena,5,0,buena,buena,buen,['buen']
la rapides,5,0,rapides,rapides,rapid,['rapid']
Nose como actualizar,1,0,nose actualizar,nose actualizar,no él actualizar,"['no', 'él', 'actualizar']"
no da la aplicación,1,1,da aplicación,da aplicacion,aplicacion,['aplicacion']
buena atencion,5,0,buena atencion,buena atencion,buen atencion,"['buen', 'atencion']"
muy buena,5,0,buena,buena,buen,['buen']
todo iba bien hasta que piden actualizar la app y esto no tiene pa actualizar.... que pasa alguien me explica,2,2,iba bien piden actualizar app pa actualizar pasa alguien explica,iba bien piden actualizar app pa actualizar pasa alguien explica,ir bien pedir actualizar app actualizar pasar alguien explicar,"['ir', 'bien', 'pedir', 'actualizar', 'app', 'actualizar', 'pasar', 'alguien', 'explicar']"
No acepta actualizacion,1,1,acepta actualizacion,acepta actualizacion,aceptar actualizacion,"['aceptar', 'actualizacion']"
buena,5,0,buena,buena,buen,['buen']
Bueno,4,0,bueno,bueno,bueno,['bueno']
buena app te facilita la vida,5,0,buena app facilita vida,buena app facilita vida,buen app facilitar vida,"['buen', 'app', 'facilitar', 'vida']"
utilice la aplicación ni dos meses me pidio actualizar mi dispositivo y no me parece que eso tenga que ser un impedimento para realizar mis transacciones,1,1,utilice aplicación dos meses pidio actualizar dispositivo parece ser impedimento realizar transacciones,utilice aplicacion dos meses pidio actualizar dispositivo parece ser impedimento realizar transacciones,utilizar aplicacion dos mes pidio actualizar dispositivo parecer ser impedimento realizar transacción,"['utilizar', 'aplicacion', 'dos', 'mes', 'pidio', 'actualizar', 'dispositivo', 'parecer', 'ser', 'impedimento', 'realizar', 'transacción']"
excelente,5,0,excelente,excelente,excelente,['excelente']
Es buen la aplicación pero no te deja hacer transferencias desde el exterior como otras app,3,2,buen aplicación deja hacer transferencias exterior app,buen aplicacion deja hacer transferencias exterior app,buen aplicacion dejar hacer transferencia exterior app,"['buen', 'aplicacion', 'dejar', 'hacer', 'transferencia', 'exterior', 'app']"
muy lento,3,0,lento,lento,lento,['lento']
"pésima aplicación, hace una hora que no puedo transferir mi dinero, ni retirarlo, busquen solución para está aplicación espero puedan mejorarla y hacerlas más fáciles las transferencias. 😮‍💨",1,8,pésima aplicación hace hora puedo transferir dinero retirarlo busquen solución aplicación espero puedan mejorarla hacerlas fáciles transferencias 😮‍💨,pesima aplicacion hace hora puedo transferir dinero retirarlo busquen solucion aplicacion espero puedan mejorarla hacerlas faciles transferencias 😮‍💨,pesimar aplicacion hacer hora poder transferir dinero retirar él buscar solucion aplicacion esperar poder mejorar él hacer él facil transferencia,"['pesimar', 'aplicacion', 'hacer', 'hora', 'poder', 'transferir', 'dinero', 'retirar', 'él', 'buscar', 'solucion', 'aplicacion', 'esperar', 'poder', 'mejorar', 'él', 'hacer', 'él', 'facil', 'transferencia']"
BIEN,5,0,bien,bien,bien,['bien']
se traba,1,0,traba,traba,trar,['trar']
no sirve está aplicación por qué no me deja ni siquiera registrarme exijo una solución,1,0,sirve aplicación deja siquiera registrarme exijo solución,sirve aplicacion deja siquiera registrarme exijo solucion,servir aplicacion dejar siquiera registrar yo exijo solucion,"['servir', 'aplicacion', 'dejar', 'siquiera', 'registrar', 'yo', 'exijo', 'solucion']"
exelente,5,0,exelente,excelente,excelente,['excelente']
"Mejoraron la velocidad de transferencia, me gusta que ahora si llegue rápido las transferencias aunque para depositar se debe registrar el biométrico en las agencias pero me agrada que esta app sea una de las pocas en tener una cuenta en el banco y no solamente una billetera móvil",5,55,mejoraron velocidad transferencia gusta ahora si llegue rápido transferencias aunque depositar debe registrar biométrico agencias agrada app pocas tener cuenta banco solamente billetera móvil,mejoraron velocidad transferencia gusta ahora si llegue rapido transferencias aunque depositar debe registrar biometrico agencias agrada app pocas tener cuenta banco solamente billetera movil,mejorar velocidad transferencio gusto ahora llegar rapido transferencia aunque depositar deber registrar biometrico agencia agrado app poco tener contar banco solamente billetera movil,"['mejorar', 'velocidad', 'transferencio', 'gusto', 'ahora', 'llegar', 'rapido', 'transferencia', 'aunque', 'depositar', 'deber', 'registrar', 'biometrico', 'agencia', 'agrado', 'app', 'poco', 'tener', 'contar', 'banco', 'solamente', 'billetera', 'movil']"
buens,5,0,buens,buens,buens,['buens']
Muy buena opción,5,0,buena opción,buena opcion,buen opcion,"['buen', 'opcion']"
"La aplicación recién me la instale y todo el tiempo no quiere dar me sale actualizar, todo el tiempo",1,3,aplicación recién instale tiempo quiere dar sale actualizar tiempo,aplicacion recien instale tiempo quiere dar sale actualizar tiempo,aplicacion recien instalar tiempo querer dar sale actualizar tiempo,"['aplicacion', 'recien', 'instalar', 'tiempo', 'querer', 'dar', 'sale', 'actualizar', 'tiempo']"
me pide actualisarlo para poder entrar,5,0,pide actualisarlo poder entrar,pide actualisarlo poder entrar,pedir actualisar él poder entrar,"['pedir', 'actualisar', 'él', 'poder', 'entrar']"
bien,5,0,bien,bien,bien,['bien']
buenísimo,5,0,buenísimo,buenisimo,buenisimo,['buenisimo']
"la aplicación no es muy buena, en varias ocasiones me aparece como si no tuviera saldo, ahora me pide actualizar para abrir aplicación y no actualiza",1,1,aplicación buena varias ocasiones aparece si saldo ahora pide actualizar abrir aplicación actualiza,aplicacion buena varias ocasiones aparece si saldo ahora pide actualizar abrir aplicacion actualiza,aplicacion buen varios ocasión aparecer saldo ahora pedir actualizar abrir aplicacion actualizar,"['aplicacion', 'buen', 'varios', 'ocasión', 'aparecer', 'saldo', 'ahora', 'pedir', 'actualizar', 'abrir', 'aplicacion', 'actualizar']"
