content,score,thumbsUpCount,comentario_limpio,comentario_limpio_corregido,comentario_lemmatizado
"una billetera móvil muy limitada, errores de actualización y retraso de transacciones. No me gustó para nada y prefiero desinstalar y también quiero eliminar esa cuenta Altoke no beneficia en nada.",1,0,billetera móvil limitada errores actualización retraso transacciones gustó prefiero desinstalar quiero eliminar cuenta altoke beneficia,billetera movil limitada errores actualizacion retraso transacciones gusto prefiero desinstalar quiero eliminar cuenta altoke beneficia,billetera movil limitado error actualizacion retraso transacción gusto preferir desinstalar querer eliminar cuenta altoke beneficiar
"pésima se cuelga , no recibe ni envía pagos por qr , la otra persona me envía comprobante pero a la banca altoke no llega nada sigo en cero",1,1,pésima cuelga recibe envía pagos qr persona envía comprobante banca altoke llega sigo cero,pesima cuelga recibe envia pagos qr persona envia comprobante banca altoke llega sigo cero,pesimir cuelga recibir envia pago qr persona envia comprobante banco altoke llegar seguir cero
Bien por el momento,4,0,bien momento,bien momento,bien momento
nadie se ponga altoke yo hice una transferencia de 50 Bs y me descontó pero no llego ya con mañana será una semana y ahora para reclamar no me contestan,1,2,nadie ponga altoke hice transferencia bs descontó llego mañana semana ahora reclamar contestan,nadie ponga altoke hice transferencia bs desconto llego manana semana ahora reclamar contestan,nadie poner altoke hacer transferencia bs desconto llego manán semana ahora reclamar contestir
"No me deja retirar dinero, dice modo consulta",3,0,deja retirar dinero dice modo consulta,deja retirar dinero dice modo consulta,dejar retirar dinero decir modo consulta
no deja hacer recargas siempre sale error ya sea cualquier línea ..muy lenta yape es mejor,1,1,deja hacer recargas siempre sale error cualquier línea lenta yape mejor,deja hacer recargas siempre sale error cualquier linea lenta yape mejor,dejar hacer recarga siempre salir error cualquiera linea lento yape mejor
"Siempre que se quiere recargar sale error error,para nada satisfecha con la app, también no me parece que lo tengamos que crear con el número del chip,no me parece seguro",1,5,siempre quiere recargar sale error errorpara satisfecha app parece crear número chipno parece seguro,siempre quiere recargar sale error errorpara satisfecha app parece crear numero chipno parece seguro,siempre querer recargar salir error errorpar satisfecho app parecer crear numero chipno parecer seguro
por que cuando hay dinero arriba de 1000bs no quieren realizar transacciones a otras cuentas tengo ese problema necesito urgente el dinero pero no puedo pasarlo a mi otra cuenta se queda cargando mas de una hora !!!,1,2,dinero arriba bs quieren realizar transacciones cuentas problema necesito urgente dinero puedo pasarlo cuenta queda cargando mas hora,dinero arriba bs quieren realizar transacciones cuentas problema necesito urgente dinero puedo pasarlo cuenta queda cargando mas hora,dinero arriba b querer realizar transacción cuenta problema necesitar urgente dinero poder pasar él cuenta quedar cargar mas hora
alguien sabe el numero para llamar ya es 2 dias que no me deja ni cancelar por qr ni retirar,1,1,alguien sabe numero llamar dias deja cancelar qr retirar,alguien sabe numero llamar dias deja cancelar qr retirar,alguien saber numero llamar dia dejar cancelar qr retirar
la verdad es bueno la aplicación solo a ahí problema tiene anuncio agan algo con los anuncios,3,1,verdad bueno aplicación solo ahí problema anuncio agan anuncios,verdad bueno aplicacion solo ahi problema anuncio agan anuncios,verdad bueno aplicacion solo ahi problema anuncio acer anuncio
malasa por quitarme mi tiempo,1,0,malasa quitarme tiempo,malasa quitarme tiempo,malasar quitarme tiempo
👌🏾👌🏾👌🏾👦🏾👦🏾👦🏾,5,0,👌🏾👌🏾👌🏾👦🏾👦🏾👦🏾,👌🏾👌🏾👌🏾👦🏾👦🏾👦🏾,👌 🏾 👌 🏾 👌 🏾 👦 🏾 👦 🏾 👦 🏾
primero no deja recargar rápido te dise vuelve en unos minutos y tampoco quiere recargar así que por eso uso yape,1,3,primero deja recargar rápido dise vuelve minutos tampoco quiere recargar así uso yape,primero deja recargar rapido dise vuelve minutos tampoco quiere recargar asi uso yape,primero dejar recargar rapido dise volver minuto tampoco querer recargar asi uso yape
una porquería de app,1,0,porquería app,porqueria app,porqueria app
muy buena,5,1,buena,buena,buen
"Pesimo, llevo varios dias intentando crear un cuenta y nada..!!",1,0,pesimo llevo varios dias intentando crear cuenta,pesimo llevo varios dias intentando crear cuenta,pesimo llevar varios dia intentar crear cuenta
Deben de optimizar para que sea rápido las transacciones,4,0,deben optimizar rápido transacciones,deben optimizar rapido transacciones,deber optimizar rapido transacción
"No quiero yape, pero esta es un tanto lento, No te aparece al toque, No puedo recargar credito a mi celular, etc,... por eso y mas No compartí la app a mis contactos. No sea que ello tengan los mismos problemas.",1,16,quiero yape lento aparece toque puedo recargar credito celular etc mas compartí app contactos ello mismos problemas,quiero yape lento aparece toque puedo recargar credito celular etc mas comparti app contactos ello mismos problemas,querer yape lento aparecer toque poder recargar credito celular etc mas comparti app contacto él mismo problema
"no sirve la app cuando más la necesitas, mejor está yape",4,0,sirve app necesitas mejor yape,sirve app necesitas mejor yape,servir app necesita mejor yape
una basura hoy es 17 de marzo ya es como una semana que no puedo transferir dinero ni recibir quedan muy mal con este tipo de problemas nos ponen en apuros y no dan solución,1,3,basura hoy marzo semana puedo transferir dinero recibir quedan mal tipo problemas ponen apuros dan solución,basura hoy marzo semana puedo transferir dinero recibir quedan mal tipo problemas ponen apuros dan solucion,basura hoy marzo semana poder transferir dinero recibir quedar mal tipo problema poner apuro dar solucion
Es muy buena la aplicación,5,0,buena aplicación,buena aplicacion,buen aplicacion
"app muy lenta, y no puedo hacer transacciones,",1,0,app lenta puedo hacer transacciones,app lenta puedo hacer transacciones,app lento poder hacer transacción
super bueno 👍,5,0,super bueno 👍,super bueno 👍,super bueno 👍
funcionaba bien pero ahora no funciona solo dise ocurrió un error y ya e mucho tiempo con es problema 😠😠😠 deberían solucionar lo mas antes posible,1,1,funcionaba bien ahora funciona solo dise ocurrió error tiempo problema 😠😠😠 deberían solucionar mas posible,funcionaba bien ahora funciona solo dise ocurrio error tiempo problema 😠😠😠 deberian solucionar mas posible,funcionar bien ahora funcionar solo dise ocurrio error tiempo problema 😠 😠 😠 deberiar solucionar mas posible
Super genial,5,0,super genial,super genial,super genial
"pésimo, mis recargas nunca me llegan, que estafa",1,1,pésimo recargas nunca llegan estafa,pesimo recargas nunca llegan estafa,pesimo recarga nunca llegar estafa
"en resumen, una porquería.",1,0,resumen porquería,resumen porqueria,resumen porquerio
buena,5,0,buena,buena,buen
Es la mejor app... que tengo..muy útil... y eficaz...hasta el momento.. la recomiendo.. es muy buena y fácil de usar.. bueno para mi es fácil no se para los demás... así que un 10/10 y bueno aser usándola...,5,1,mejor app tengomuy útil eficazhasta momento recomiendo buena fácil usar bueno fácil demás así bueno aser usándola,mejor app tengomuy util eficazhasta momento recomiendo buena facil usar bueno facil demas asi bueno hacer usandola,mejor app tengomuy util eficazhasta momento recomeir buen facil usar bueno facil demas asi bueno hacer usandola
Na no me deja entrar,1,0,na deja entrar,na deja entrar,na dejar entrar
Bonito,5,0,bonito,bonito,bonito
no sirve,1,0,sirve,sirve,servir
la mejor banca móvil 10 de 10,5,0,mejor banca móvil,mejor banca movil,mejor banca movil
muy bueno,5,0,bueno,bueno,bueno
Es pésimo su reconocimiento primero no puede reconocer Después ya te bloquea directo 😒,1,0,pésimo reconocimiento primero puede reconocer después bloquea directo 😒,pesimo reconocimiento primero puede reconocer despues bloquea directo 😒,pesimo reconocimiento primero poder reconocer despu bloquea directo 😒
muy in portante es esto,5,1,in portante,in portante,in portante
Me robaron 10bs que me depositó un familiar escaneando mi QR y nada que me llega,1,0,robaron bs depositó familiar escaneando qr llega,robaron bs deposito familiar escaneando qr llega,robar bs deposito familiar escanear qr llegar
Genial,5,0,genial,genial,genial
Es bueno 👌,5,0,bueno 👌,bueno 👌,bueno 👌
excelentísimo lo,5,0,excelentísimo,excelentisimo,excelentisimo
"A veses se les cae el servicio y no deja transferir dice :""ha ocurrido un error"" deberían arreglar eso. ya va años que sigue con esos problemas sobre su servicio",1,2,veses cae servicio deja transferir dice ocurrido error deberían arreglar va años sigue problemas servicio,veses cae servicio deja transferir dice ocurrido error deberian arreglar va anos sigue problemas servicio,vés caer servicio dejar transferir decir ocurrido error deberiar arreglar ir anos seguir problema servicio
No me deja yapear y tengo saldo,1,0,deja yapear saldo,deja yapear saldo,dejar yapear saldo
Es super buena,4,0,super buena,super buena,super buen
muy buena y de gran ayuda,5,0,buena gran ayuda,buena gran ayuda,buen gran ayuda
Dise que no te cobra comisión pero te cobra por eso ya utilizo al toke más fácil y práctico y puedes Aser tranferencia y recargas,1,0,dise cobra comisión cobra utilizo toke fácil práctico puedes aser tranferencia recargas,dise cobra comision cobra utilizo toke facil practico puedes hacer tranferencia recargas,disir cobra comision cobrar utilizo toke facil practico poder hacer tranferencia recarga
Muy malo ya se cayó el sistema no se puede cargar ni créditos una mala aplicación,1,1,malo cayó sistema puede cargar créditos mala aplicación,malo cayo sistema puede cargar creditos mala aplicacion,malo cayo sistema poder cargar credito malo aplicacion
Xque no puedo recargar me por yape,3,0,xque puedo recargar yape,xque puedo recargar yape,xque poder recargar yape
Muy mala no puedo registrarme,1,0,mala puedo registrarme,mala puedo registrarme,malo poder registrar yo
Una de las mejores aplicaciones que crearon 💯,5,1,mejores aplicaciones crearon 💯,mejores aplicaciones crearon 💯,mejor aplicación crear 💯
👍 bien,5,0,👍 bien,👍 bien,👍 bien
Excelente servicio,5,0,excelente servicio,excelente servicio,excelente servicio
Es interesante,5,0,interesante,interesante,interesante
Bien,5,0,bien,bien,bien
Es buena la app pero no me deja aser recarga de internet me sale ocurio un inconveniente este servicio no se encuentra habilitado,2,1,buena app deja aser recarga internet sale ocurio inconveniente servicio encuentra habilitado,buena app deja hacer recarga internet sale ocurio inconveniente servicio encuentra habilitado,buen app dejar hacer recarga internet salir ocurio inconveniente servicio encontrar habilitado
"Dos estrellas porque yape está muy lento y no es problema del internet, sino de la misma aplicación, traten de solucionar eso, por qué harta gente se está yendo con otra billeteras😬",2,30,dos estrellas yape lento problema internet sino misma aplicación traten solucionar harta gente yendo billeteras😬,dos estrellas yape lento problema internet sino misma aplicacion traten solucionar harta gente yendo billeteras😬,dos estrella yape lento problema internet sino mismo aplicacion tratar solucionar hartar gente ir billetera 😬
La verdad muy buena app pero sigan mejorando 👌,5,1,verdad buena app sigan mejorando 👌,verdad buena app sigan mejorando 👌,verdad buen app seguir mejorar 👌
Pésimo,1,0,pésimo,pesimo,pesimo
Exelrnte,4,0,exelrnte,exelrnte,exelrnte
Basura de aplicación cada segundo se cuelga borrenlo de la apps,1,1,basura aplicación cada segundo cuelga borrenlo apps,basura aplicacion cada segundo cuelga borrenlo apps,basura aplicacion cada segundo cuelga borrenlo apps
